danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track.name,track.popularity
0.903,0.539,9,-8.565,1,0.367,0.0889,0,0.305,0.758,139.926,179493,4,Bank,44
0.774,0.316,4,-15.797,0,0.252,0.387,1.11e-4,0.0733,0.321,109.964,242991,4,Ten Ten,24
0.426,0.491,5,-8.345,1,0.0394,0.137,0.00573,0.116,0.214,143.724,383152,4,"Hapi (with Benji. & EARTHGANG feat. Mereba, Big Rube)",35
0.467,0.934,2,-2.253,1,0.0588,0.00561,0.0018600000000000001,0.107,0.135,149.967,187000,4,Cheatcode,45
0.25,0.707,4,-6.118,1,0.0304,0.011,0.712,0.152,0.262,90.081,358741,4,Ugo,46
0.87,0.446,4,-9.062,0,0.271,0.22,5.77e-5,0.236,0.512,119.981,137000,4,Compare,51
0.416,0.248,10,-14.62,1,0.14,0.647,0.427,0.113,0.134,161.667,433916,4,A&W,78
0.895,0.878,6,-6.82,0,0.297,0.00843,3.98e-6,0.522,0.902,132.122,218053,4,It's a Kuruption Ting,41
0.137,0.302,0,-10.41,1,0.033,0.361,0.886,0.27,0.0847,142.483,213125,3,Dream 1.2.2 [2016 Export Wav],51
0.839,0.354,1,-14.909,1,0.125,0.216,0.00191,0.105,0.573,135.924,134762,4,Nice 2 Know U 1.5.3 [2020 Export Wav],54
0.7,0.721,8,-5.824,1,0.0338,0.128,0.285,0.101,0.128,123.996,293282,4,Why 1.3 [2012 Export Wav],54
0.527,0.869,9,-4.63,1,0.0789,0.085,0.0884,0.473,0.457,149.964,121600,4,OURS,48
0.546,0.942,11,-6.761,0,0.856,0.37,0,0.376,0.405,93.936,146233,4,Counting Sheep (V2) [2018 Export Wav] feat. Injury Reserve,57
0.81,0.864,11,-5.086,1,0.0374,0.0339,0.927,0.0593,0.768,124.992,168000,4,One Three Nine,50
0.444,0.557,0,-5.476,1,0.0602,0.453,0,0.152,0.296,115.058,234910,4,Never Be Like You (feat. Kai),63
0.566,0.547,1,-9.777,0,0.135,0.132,1.66e-4,0.538,0.267,70,173372,4,THE_EVIL_THAT_MEN_DO,53
0.752,0.822,1,-5.837,1,0.098,0.0356,0.0615,0.14,0.454,126.068,190476,4,Selecta,55
0.584,0.608,10,-9.09,0,0.454,0.499,0,0.137,0.482,134.418,178286,4,Old Ways,31
0.84,0.717,10,-4.368,0,0.105,0.12,1.29e-5,0.298,0.675,96.224,258640,4,I Get Around,55
0.698,0.5,9,-12.801,1,0.214,0.424,1.1e-5,0.108,0.172,101.04,295733,4,Without You,41
0.915,0.591,8,-10.536,0,0.608,0.072,0,0.0947,0.867,139.915,185339,4,Jansport,34
0.692,0.502,8,-11.866,1,0.0524,0.00542,0.894,0.161,0.463,114.146,258511,4,Akeldama,31
