danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track.name,track.popularity,listener_id
0.421,0.693,8,-7.332,1,0.0452,0.441,2.48e-4,0.102,0.59,111.118,253165,4,Only the Wild Ones,57,Erica
0.625,0.815,1,-7.036,0,0.0442,0.139,0.248,0.109,0.66,150.004,227440,4,Pacific Coast Highway (with Trevor Hall),48,Erica
0.715,0.542,4,-9.748,0,0.0353,0.788,0.0488,0.0816,0.652,96.057,322663,4,Fading into Yesterday,5,Erica
0.756,0.851,5,-5.391,1,0.0665,0.172,0.00276,0.574,0.472,124.05,154904,4,Chasing Dreams,31,Erica
0.663,0.906,11,-6.948,0,0.0607,0.071,0.158,0.372,0.103,121.018,197000,4,Be Yourself,24,Erica
0.202,0.742,0,-5.29,1,0.124,0.00169,4.83e-4,0.128,0.155,194.876,196136,3,Natural Born Killer,54,Erica
0.736,0.346,9,-7.926,1,0.0267,0.844,0.122,0.123,0.233,92.006,216755,4,Chariot,59,Erica
0.702,0.61,5,-10.075,1,0.0368,0.533,6.31e-4,0.379,0.332,119.975,234107,4,Under the Sun,54,Erica
0.442,0.654,10,-7.021,1,0.0296,0.305,2.09e-5,0.577,0.918,162.048,227680,4,Atlas,50,Erica
0.594,0.375,3,-12.11,0,0.0588,0.725,0.292,0.104,0.197,94.019,324107,4,Young,51,Erica
0.23,0.416,4,-8.09,0,0.033,0.203,0.00298,0.109,0.171,106.941,446400,4,The Night,29,Erica
0.729,0.636,2,-9.117,1,0.189,0.483,0.408,0.237,0.587,170.045,128852,4,Chillin',34,Erica
0.589,0.527,0,-9.962,1,0.0342,0.599,1.11e-4,0.0853,0.132,133.981,162377,4,Miss Summer,66,Erica
0.612,0.701,8,-3.615,0,0.0339,0.0148,5.82e-6,0.186,0.354,97.971,173120,4,CHAMPION,52,Erica
0.682,0.751,10,-6.484,0,0.076,0.193,2.08e-4,0.142,0.615,92.062,192492,4,Devil Is A Woman,58,Erica
0.534,0.703,9,-5.406,0,0.0458,0.114,0.011,0.0918,0.317,171.961,307507,4,Sirens,42,Erica
0.886,0.371,5,-10.542,1,0.0465,0.349,0.00138,0.0985,0.928,115.026,219261,4,This Must Be The Place,59,Erica
0.655,0.569,1,-5.018,0,0.0349,0.716,7.4e-6,0.135,0.44,150.267,169175,4,Let Me Down Slowly (feat. Alessia Cara),67,Erica
0.676,0.467,2,-9.692,1,0.0386,0.934,3.37e-5,0.418,0.445,132.318,91765,1,The View,11,Erica
0.49,0.339,7,-7.984,1,0.0317,0.838,0,0.111,0.229,80.498,262001,4,Morning Elvis,52,Erica
0.76,0.439,5,-12.218,1,0.0336,0.712,3.58e-4,0.0945,0.334,102.008,209712,4,Coast,53,Erica
0.854,0.631,11,-8.197,0,0.0452,0.884,0.00999,0.202,0.609,119.986,228062,4,anemone,55,Erica
0.842,0.448,0,-12.244,0,0.036,0.615,0.0563,0.103,0.257,107.979,263617,4,A Better Way To Love,46,Erica
0.637,0.58,1,-4.91,0,0.0304,0.564,0.838,0.064,0.186,92.981,162000,4,All Along The Watchtower,0,Erica
0.636,0.634,7,-10.01,1,0.0342,0.0364,0.147,0.0998,0.599,111.563,252812,4,Texas Sun,69,Erica
0.663,0.546,7,-7.778,0,0.0415,0.066,0.403,0.0851,0.151,129.952,232615,4,Please Come Home,38,Erica
0.678,0.772,11,-8.001,0,0.0601,0.385,7.59e-5,0.451,0.777,104.7,229404,4,Smile,46,Erica
0.601,0.755,8,-5.528,1,0.0405,0.0575,0.887,0.347,0.508,180.02,225000,4,Beauty Beats,38,Erica
0.749,0.657,10,-9.077,0,0.0384,0.223,3.06e-5,0.0714,0.744,123.975,187742,4,Goddess,51,Erica
0.305,0.0536,8,-18.215,1,0.0501,0.994,0.0136,0.403,0.294,166.222,138298,3,Pachamama,58,Erica
